hs4,품목명,HHI,1위국,1위국비중,수입액합계,news_hits,대체국_top10,alt_countries_str,KOTRA_매칭기준,KOTRA_현지법인_top5,KOTRA_현지법인_기업명_top5
2841,산화금속산염·과산화금속산염 (배터리·화학 소재),0.8941,중국,0.9451,1050737927.0,0,"Japan, Poland, USA, Netherlands, United Kingdom, Slovenia, Sweden, India, Malaysia, Luxembourg","Japan, Poland, USA, Netherlands, United Kingdom, Slovenia, Sweden, India, Malaysia, Luxembourg",exact(키워드 정밀매칭),미국(16); 인도(8); 말레이시아(7); 폴란드(2); 네덜란드(1),금호석유화학(말레이시아); 롯데케미칼 타이탄(말레이시아); 롯데우베(말레이시아); 한화케미칼말레이시아(말레이시아); LG화학 말레이시아 법인(말레이시아)
7210,철강 평판압연제품 (도금·도포 강판),0.7851,중국,0.8825,628454392.0,0,"Japan, USA, Sweden, Austria, Belgium, Mexico, India, Germany, Viet Nam, Australia","Japan, USA, Sweden, Austria, Belgium, Mexico, India, Germany, Viet Nam, Australia",exact(키워드 정밀매칭),베트남(24); 미국(23); 인도(14); 일본(8); 멕시코(4),포스코인터내셔널 시드니지사(호주); 포스코 호주법인(호주); 호주세넥스법인(호주); 펠릭스 메탈 테크(베트남); 포스코 건설 하노이지사(베트남)
7228,기타 합금강 봉 및 형강,0.6122,중국,0.7676,271387736.0,0,"Japan, Sweden, USA, Austria, Germany, France, Italy, Spain, Israel, United Kingdom","Japan, Sweden, USA, Austria, Germany, France, Italy, Spain, Israel, United Kingdom",exact(키워드 정밀매칭),미국(11); 일본(2); 영국(1),현대제철 아메리카법인(미국); 휴스틸(미국); 아주베스틸(미국); 산동금속 미국 판매법인(미국); 일진제강 미주지사(미국)
7607,알루미늄 박 (배터리 동박/알루미늄박),0.7477,중국,0.8626,260097499.0,0,"Japan, Thailand, Germany, Viet Nam, USA, Malaysia, Austria, Netherlands, France, Philippines","Japan, Thailand, Germany, Viet Nam, USA, Malaysia, Austria, Netherlands, France, Philippines",exact(키워드 정밀매칭),베트남(5); 태국(1); 미국(1); 독일(1),그린칼톤박스(태국); 알루코 그룹 현대 알루미늄 비나(베트남); 에스코넥 박장 비나(베트남); 동아알루미늄(베트남); 알루미늄 한비엣(베트남)
7213,철/비합금강 선재,0.6242,중국,0.7618,239602343.0,0,"Japan, Spain, United Kingdom, Germany, Malaysia, India, USA, Viet Nam, Netherlands, Saudi Arabia","Japan, Spain, United Kingdom, Germany, Malaysia, India, USA, Viet Nam, Netherlands, Saudi Arabia",exact(키워드 정밀매칭),미국(14); 베트남(10); 인도(6); 일본(4); 말레이시아(2),고려제강 말레이시아(말레이시아); 삼화스틸(말레이시아); 대한강재(베트남); 하노이 유스틸 (유)(베트남); 주식회사 유진건철 베트남(베트남)
2811,플루오르화수소(플루오르화수소산),0.5391,중국,0.7179,219624941.0,0,"Japan, USA, Germany, Malaysia, Israel, France, Mexico, Jordan, India, Singapore","Japan, USA, Germany, Malaysia, Israel, France, Mexico, Jordan, India, Singapore",exact(키워드 정밀매칭),미국(18); 인도(8); 독일(7); 말레이시아(6); 멕시코(2),금호석유화학(말레이시아); 롯데케미칼 타이탄(말레이시아); 한화케미칼말레이시아(말레이시아); LG화학 말레이시아 법인(말레이시아); SK케미칼 말레이시아(말레이시아)
2849,탄화물 (탄화텅스텐·탄화실리콘 등),0.7438,중국,0.86,179350672.0,0,"Japan, Norway, Austria, Viet Nam, Germany, Canada, India, USA, France, Russian Federation","Japan, Norway, Austria, Viet Nam, Germany, Canada, India, USA, France, Russian Federation",exact(키워드 정밀매칭),베트남(3); 미국(1),효성 광남(베트남); 성신소재(베트남); 성신베트남(베트남); 디엔에이치 아메리카(미국)
2926,니트릴관능화합물 (아크릴로니트릴 등),0.5963,중국,0.7542,174127186.0,0,"Japan, Germany, India, USA, Netherlands, Spain, Italy, Switzerland, France, United Kingdom","Japan, Germany, India, USA, Netherlands, Spain, Italy, Switzerland, France, United Kingdom",exact(키워드 정밀매칭),미국(8); 독일(6); 인도(2); 이탈리아(1); 네덜란드(1),미원화학(미국); 엘지 캠 라이프 사이언스 이노베이션 센터(미국); 동양제철화학(미국); 엘지화학 영업사무소(미국); 엘지 나노에이치투오(미국)
7209,철/비합금강 냉간압연 평판제품,0.8515,중국,0.9198,165767654.0,0,"Japan, USA, Sweden, India, Thailand, United Kingdom, Indonesia, Uzbekistan, Germany, Austria","Japan, USA, Sweden, India, Thailand, United Kingdom, Indonesia, Uzbekistan, Germany, Austria",exact(키워드 정밀매칭),미국(9); 태국(6); 인도(5); 인도네시아(1),실스틸(태국); KG동부태국제철(태국); 동국제강 태국법인(태국); 신스틸 타일랜드(태국); 포스코TCS(태국)
6802,가공용 석재 (대리석·설화석고 등),0.8094,중국,0.8988,158165320.0,0,"Viet Nam, Italy, Egypt, India, Oman, Pakistan, Türkiye, Greece, Spain, Brazil","Viet Nam, Italy, Egypt, India, Oman, Pakistan, Türkiye, Greece, Spain, Brazil",exact(키워드 정밀매칭),베트남(14),디에이치텍스타일(베트남); 텍타일 인더스트리얼(베트남); 키스톤 네트웍스(베트남); 지알비나 텍스타일(베트남); 국진 주식회사(베트남)
